1154 222
93 202 218
17 152 214
26 158 218
91 194 215
114 173 215
13 160 215
5 152 216
21 199 215
111 178 218
130 149 215
49 198 216
23 181 215
28 146 214
10 151 215
25 191 215
93 171 218
40 149 218
90 157 215
105 176 215
47 149 218
23 152 217
8 152 216
117 152 216
42 195 216
30 190 215
133 194 215
61 198 218
32 198 218
22 151 218
121 149 215
61 204 218
40 152 214
77 149 215
93 145 217
86 159 215
2 149 218
34 152 217
124 198 218
13 175 215
1 154 215
29 152 214
98 149 218
83 151 218
85 194 218
66 173 215
91 159 215
16 152 217
134 184 214
73 152 216
111 182 218
76 202 218
49 167 217
96 184 215
100 184 214
0 151 215
122 157 215
62 154 218
14 146 214
86 154 218
102 184 214
95 152 217
75 151 215
73 212 215
95 174 215
100 184 216
101 207 215
52 176 215
106 152 217
96 184 218
98 178 218
40 160 215
64 152 214
124 198 216
112 152 217
41 157 215
143 184 215
126 184 216
77 158 218
38 156 218
93 159 214
71 158 218
34 149 218
91 149 215
38 152 216
5 152 217
137 200 216
63 152 217
114 207 218
91 184 214
93 185 217
44 152 214
57 184 216
90 146 214
60 176 215
3 170 215
112 176 215
18 178 217
79 186 217
72 152 217
41 173 215
38 152 217
114 175 215
4 160 215
10 184 218
101 208 215
0 147 215
19 158 218
93 202 215
14 149 215
105 149 218
38 198 214
38 175 215
18 152 214
71 157 215
36 152 214
18 194 218
79 200 216
41 178 217
62 206 215
62 200 218
114 184 214
93 188 216
54 149 218
52 152 217
46 159 215
49 197 218
106 199 218
7 181 215
111 184 218
57 146 214
1 146 214
3 149 218
124 152 216
6 160 215
106 178 214
62 159 215
91 213 218
102 184 216
27 178 218
86 186 217
69 156 218
51 199 218
4 176 215
100 152 214
118 156 215
93 198 216
111 212 218
11 157 215
93 214 218
42 178 217
111 156 218
125 158 218
85 156 218
100 198 217
10 184 216
93 169 217
96 184 216
93 208 215
65 147 218
33 149 218
23 151 215
22 197 218
37 170 215
29 152 216
122 152 216
71 159 215
19 198 216
19 195 216
2 166 218
111 167 218
120 149 215
17 149 218
57 207 215
139 152 214
103 194 215
34 151 218
111 167 214
90 207 218
114 161 214
35 152 216
106 195 216
100 212 215
85 146 214
114 198 218
111 157 215
5 149 215
109 146 214
62 149 218
85 193 215
12 152 214
61 178 217
102 198 216
111 192 215
124 152 214
19 146 214
58 157 215
111 187 215
75 159 215
71 149 218
77 198 218
33 164 216
17 149 215
101 181 215
20 199 218
31 146 214
114 194 215
75 156 215
78 184 218
41 151 218
102 154 218
9 170 215
74 152 216
105 156 215
0 146 214
91 156 215
93 200 216
90 151 218
49 198 218
7 151 218
76 202 215
30 152 217
143 146 214
33 198 216
97 207 215
90 160 215
73 152 214
106 152 216
102 210 218
132 212 218
101 158 218
70 159 215
29 160 215
85 152 216
85 149 218
56 159 215
74 151 215
114 152 216
30 151 218
83 146 214
106 198 214
2 167 217
23 149 215
120 176 215
3 159 215
68 151 218
1 152 217
3 160 215
49 184 215
86 170 215
110 158 218
16 190 215
23 176 215
17 157 215
111 198 217
93 204 218
44 151 218
106 212 218
93 166 218
114 149 215
114 213 215
7 152 216
137 200 214
5 170 215
55 199 218
140 151 215
39 152 214
23 152 216
91 208 215
65 209 218
93 206 215
62 156 218
100 198 216
38 149 215
17 160 215
100 198 214
65 210 215
102 212 218
3 152 216
133 198 216
101 152 217
17 152 216
30 159 215
50 204 215
102 186 217
9 157 215
91 152 214
51 192 218
3 156 218
49 184 216
32 151 218
22 146 214
76 152 214
54 146 214
100 159 215
69 149 215
111 208 218
42 151 218
59 149 215
76 152 216
62 151 218
8 157 215
82 159 215
93 205 214
1 160 215
91 148 214
124 194 215
85 207 216
111 209 218
139 152 217
90 152 214
77 178 214
131 184 218
98 149 215
114 199 216
15 152 216
22 149 218
123 194 215
49 147 215
23 152 214
76 152 217
33 152 214
11 175 215
112 156 215
114 184 218
130 149 218
102 154 215
106 178 218
19 173 218
93 204 215
93 158 214
139 184 215
116 146 214
10 152 214
77 198 217
93 152 216
85 152 217
121 146 214
101 181 218
78 160 215
84 157 215
103 194 218
126 196 216
55 194 215
32 158 218
77 149 218
27 178 214
93 210 215
59 146 214
88 199 215
49 184 214
32 198 217
104 159 215
46 160 215
49 147 218
19 197 215
103 197 215
90 156 215
85 149 215
32 152 216
38 198 216
85 204 218
111 208 215
86 200 218
102 192 218
1 159 215
98 146 214
38 198 218
18 184 214
47 149 215
34 152 214
71 146 214
85 199 218
75 151 218
143 184 216
11 152 217
118 146 214
42 159 215
111 160 215
139 184 214
102 147 218
137 200 217
26 160 215
112 149 215
111 186 214
93 178 217
95 159 215
68 195 218
93 168 215
114 156 218
18 152 217
40 149 215
91 151 215
27 152 217
100 149 218
2 152 217
131 184 216
121 176 215
81 146 214
61 178 214
100 160 215
1 154 218
101 160 215
32 146 214
38 152 214
68 164 218
86 146 214
126 196 218
19 197 218
11 151 215
36 152 217
106 207 215
69 156 215
122 151 215
100 152 217
36 152 216
49 156 218
135 166 218
77 198 216
118 184 218
18 178 214
129 204 215
67 152 217
76 160 215
2 167 218
84 166 218
93 211 217
128 199 216
114 165 214
100 184 218
125 184 216
101 146 214
35 159 215
114 190 215
75 202 218
136 152 216
121 152 216
30 152 216
134 178 218
106 160 215
121 152 217
27 149 218
142 166 218
139 173 215
53 152 214
102 208 215
24 184 218
22 193 218
74 152 214
106 198 216
100 173 218
9 146 214
111 184 217
132 186 217
47 193 215
4 156 218
111 152 217
51 152 217
50 157 215
114 199 218
91 173 218
23 181 218
124 198 217
49 149 218
33 167 217
50 151 218
34 159 215
49 194 215
111 184 215
91 149 218
111 194 218
144 146 214
60 154 215
120 152 217
50 159 215
79 146 214
22 159 215
24 152 217
87 211 217
65 208 215
111 192 218
27 156 218
49 175 215
106 198 217
111 186 217
93 157 215
102 208 218
93 195 218
90 149 215
62 146 214
111 173 218
52 206 218
93 154 218
93 155 217
5 160 215
90 156 218
20 158 218
132 212 215
13 152 216
91 199 216
100 206 218
114 209 215
76 158 218
18 173 218
1 156 218
138 184 214
44 151 215
106 199 215
114 194 218
52 152 216
102 149 215
106 207 216
27 178 217
79 200 217
134 198 218
93 200 217
27 156 215
32 151 215
91 213 215
112 156 218
49 167 214
62 181 215
19 198 218
125 184 214
85 207 218
16 160 215
67 146 214
51 192 215
9 149 215
91 194 218
126 149 218
77 184 218
118 152 214
100 198 218
111 153 218
51 152 216
8 159 215
17 192 215
61 159 215
63 152 216
142 172 214
93 190 215
93 207 215
93 152 214
6 146 214
93 197 218
114 156 215
94 151 218
26 152 214
119 154 218
115 197 218
0 149 215
134 170 215
95 200 217
84 175 215
93 210 218
27 152 216
100 146 214
64 160 215
102 198 218
111 153 214
100 166 218
126 184 215
20 164 216
111 167 217
86 200 216
19 198 214
104 157 215
31 156 218
106 158 218
3 151 215
66 149 215
62 164 218
87 149 218
91 176 215
5 156 218
42 184 214
11 152 214
68 149 215
59 192 215
112 152 214
93 200 218
17 192 218
94 152 217
106 186 217
144 151 218
101 209 215
32 152 214
100 149 215
68 170 215
62 200 217
67 152 216
12 152 216
35 146 214
100 184 215
24 146 214
143 184 214
126 184 214
29 149 215
86 149 215
22 197 215
42 184 216
106 166 218
24 149 218
1 156 215
57 184 214
42 195 218
49 149 215
51 199 216
114 208 218
111 145 214
73 212 218
102 209 218
114 151 215
77 160 215
73 152 217
3 149 215
139 184 217
42 152 216
140 151 218
134 152 218
16 191 215
111 173 215
102 168 218
7 159 215
76 151 215
17 152 217
25 159 215
